Round,ClientID,ClientAccuracy,ClientTrainingTime,exp,K,Z,sigma_ed,sigma_iid,timestamp
1,client13,0.6284673182306084,16836.263899691403,exp1,5,15,1000.0,10,08-05-26-123027
1,client1,0.6251830161054173,13342.165612615643,exp1,5,15,1000.0,10,08-05-26-123027
1,client9,0.516437384768118,15239.314384758472,exp1,5,15,1000.0,10,08-05-26-123027
2,client5,0.6709364331461783,13543.602771125734,exp1,5,15,1000.0,10,08-05-26-123027
2,client17,0.7255832457162342,13276.725336909294,exp1,5,15,1000.0,10,08-05-26-123027
2,client13,0.673182306084402,16403.076788410544,exp1,5,15,1000.0,10,08-05-26-123027
2,client1,0.6849870480910012,13925.71149300784,exp1,5,15,1000.0,10,08-05-26-123027
2,client9,0.6799886540916182,14899.930381216109,exp1,5,15,1000.0,10,08-05-26-123027
3,client5,0.6207431650819626,14950.095254927874,exp1,5,15,1000.0,10,08-05-26-123027
3,client17,0.7513284646642607,14616.440566256642,exp1,5,15,1000.0,10,08-05-26-123027
3,client13,0.5819162759166149,16462.768870405853,exp1,5,15,1000.0,10,08-05-26-123027
3,client1,0.6334891316589706,14327.15258281678,exp1,5,15,1000.0,10,08-05-26-123027
3,client9,0.717033044958162,15025.035234168172,exp1,5,15,1000.0,10,08-05-26-123027
4,client5,0.5910899190249133,12898.042399436235,exp1,5,15,1000.0,10,08-05-26-123027
4,client17,0.7195021454349123,13303.960680030286,exp1,5,15,1000.0,10,08-05-26-123027
4,client13,0.6356985481046269,17372.199923731387,exp1,5,15,1000.0,10,08-05-26-123027
4,client1,0.4700135150354769,14142.5104951486,exp1,5,15,1000.0,10,08-05-26-123027
4,client9,0.6036874202240817,15456.693110987544,exp1,5,15,1000.0,10,08-05-26-123027
5,client5,0.7594447422622238,13869.311439804733,exp1,5,15,1000.0,10,08-05-26-123027
5,client17,0.7343354835043051,14570.142859593034,exp1,5,15,1000.0,10,08-05-26-123027
5,client13,0.8179481385232473,17016.53109397739,exp1,5,15,1000.0,10,08-05-26-123027
5,client1,0.752815632391035,15177.002925425768,exp1,5,15,1000.0,10,08-05-26-123027
5,client9,0.6976599063962559,13940.47316815704,exp1,5,15,1000.0,10,08-05-26-123027
6,client5,0.796997996783568,12639.343723654749,exp1,5,15,1000.0,10,08-05-26-123027
6,client17,0.7403597510727175,14598.660555668175,exp1,5,15,1000.0,10,08-05-26-123027
6,client13,0.7903225806451613,16848.110672086477,exp1,5,15,1000.0,10,08-05-26-123027
6,client1,0.7747212523932875,15319.58883535117,exp1,5,15,1000.0,10,08-05-26-123027
6,client9,0.7360941710395689,15163.041286170484,exp1,5,15,1000.0,10,08-05-26-123027
7,client5,0.7737776147617301,12528.588665649297,exp1,5,15,1000.0,10,08-05-26-123027
7,client17,0.7492256542866074,13358.712119050324,exp1,5,15,1000.0,10,08-05-26-123027
7,client13,0.7793627478673522,16966.74740035087,exp1,5,15,1000.0,10,08-05-26-123027
7,client1,0.7702443968915419,13648.343249224126,exp1,5,15,1000.0,10,08-05-26-123027
7,client9,0.7184796482768402,15535.398265346885,exp1,5,15,1000.0,10,08-05-26-123027
8,client5,0.7078125440848687,14753.46819870174,exp1,5,15,1000.0,10,08-05-26-123027
8,client17,0.7391946804580717,13037.05979604274,exp1,5,15,1000.0,10,08-05-26-123027
8,client13,0.764730806169143,17046.908155083656,exp1,5,15,1000.0,10,08-05-26-123027
8,client1,0.6694447572924879,15303.013333119452,exp1,5,15,1000.0,10,08-05-26-123027
8,client9,0.5247766274287335,15879.928454756737,exp1,5,15,1000.0,10,08-05-26-123027
9,client5,0.7139350506446971,15109.20223314315,exp1,5,15,1000.0,10,08-05-26-123027
9,client17,0.6707396777585178,15220.280695706606,exp1,5,15,1000.0,10,08-05-26-123027
