Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,exp,K,Z,sigma_ed,sigma_iid,timestamp
4,0.5162492317148125,527.042880654335,9393.181316554546,162502929640,exp1,5,120,1000.0,10,10-05-26-155156
5,0.5260832821143209,540.1729205623269,9262.582642026246,160571828914,exp1,5,120,1000.0,10,10-05-26-155156
6,0.5494391518131531,517.720028758049,9806.473546661437,163469161886,exp1,5,120,1000.0,10,10-05-26-155156
7,0.5715657652120467,514.562563970685,9402.04721968621,162527349753,exp1,5,120,1000.0,10,10-05-26-155156
8,0.5975338045482483,536.103505641222,9913.88401761651,163929651011,exp1,5,120,1000.0,10,10-05-26-155156
9,0.5807851874615857,538.0892138928175,9919.173303060234,161529012131,exp1,5,120,1000.0,10,10-05-26-155156
10,0.5129071911493547,483.95708855241537,8878.264828585088,161659798056,exp1,5,120,1000.0,10,10-05-26-155156
11,0.427320221266134,521.0397131741047,9175.18879007548,161288767903,exp1,5,120,1000.0,10,10-05-26-155156
12,0.3233712354025814,589.4731702283025,9240.441482514145,162952847561,exp1,5,120,1000.0,10,10-05-26-155156
13,0.3319376152427781,489.3405865877867,9351.821893826129,163420958982,exp1,5,120,1000.0,10,10-05-26-155156
14,0.3337814996926859,515.3417410328984,9460.417938418686,162249977934,exp1,5,120,1000.0,10,10-05-26-155156
15,0.5001152427781193,467.7760191261768,9125.217154622078,161917202680,exp1,5,120,1000.0,10,10-05-26-155156
16,0.608020897357099,555.8291431516409,9513.691529631617,163053628338,exp1,5,120,1000.0,10,10-05-26-155156
17,0.6223878303626306,488.8526145368815,9424.540712498128,162733224275,exp1,5,120,1000.0,10,10-05-26-155156
18,0.610940381069453,497.3363410681486,9340.19124135375,159980702012,exp1,5,120,1000.0,10,10-05-26-155156
19,0.6389443761524278,513.2479947060347,8872.665288858116,159138567164,exp1,5,120,1000.0,10,10-05-26-155156
20,0.6487015980331899,508.8618481531739,9315.5068019405,162011281588,exp1,5,120,1000.0,10,10-05-26-155156
21,0.6590350338045482,478.120693936944,9451.299683190882,162837222493,exp1,5,120,1000.0,10,10-05-26-155156
22,0.677320221266134,529.3065318837762,9494.038397446277,163450793162,exp1,5,120,1000.0,10,10-05-26-155156
23,0.6783574062692072,780.5245062336326,9663.371624425054,164806706535,exp1,5,120,1000.0,10,10-05-26-155156
24,0.6809695759065765,457.2799978777766,8914.801872335374,159943927307,exp1,5,120,1000.0,10,10-05-26-155156
0,0.1440534726490473,635.50731446594,9551.906250417233,163825104303,exp1,5,120,1000.0,10,09-05-26-191151
1,0.2046711739397664,510.0132059305906,9279.288122430444,161847349454,exp1,5,120,1000.0,10,09-05-26-191151
2,0.281999078057775,483.48297737538815,9096.661792136729,162481735975,exp1,5,120,1000.0,10,09-05-26-191151
3,0.4050015365703749,438.4580962359905,9255.103363655508,162661248331,exp1,5,120,1000.0,10,09-05-26-191151
4,0.5041487400122926,551.9440863281488,9623.57041053474,162969919023,exp1,5,120,1000.0,10,09-05-26-191151
5,0.4970421020282728,515.015184879303,9623.471753671764,162056731507,exp1,5,120,1000.0,10,09-05-26-191151
6,0.56100184388445,517.1668957918882,9016.346604563296,162943157342,exp1,5,120,1000.0,10,09-05-26-191151
7,0.569798709280885,502.4631917476654,9078.670852817597,162162103944,exp1,5,120,1000.0,10,09-05-26-191151
8,0.5927320221266134,529.8240445554256,9098.583420738578,162632720127,exp1,5,120,1000.0,10,09-05-26-191151
9,0.6067148125384143,510.93081943690777,8994.191214442253,161947593261,exp1,5,120,1000.0,10,09-05-26-191151
10,0.508220651505839,485.53705867379904,9374.172307550907,162437401344,exp1,5,120,1000.0,10,09-05-26-191151
11,0.4071143208358942,556.4512992277741,9343.935017473996,162226204813,exp1,5,120,1000.0,10,09-05-26-191151
12,0.3637062077443146,505.4482445120812,9640.546770766376,161770743391,exp1,5,120,1000.0,10,09-05-26-191151
13,0.3274431468961278,523.0043288320303,9181.277508847415,161776863408,exp1,5,120,1000.0,10,09-05-26-191151
14,0.3539489858635525,501.48466043174267,9289.316441863775,162307632497,exp1,5,120,1000.0,10,09-05-26-191151
15,0.4849031960663798,500.23096706718206,8829.928980208933,161311364242,exp1,5,120,1000.0,10,09-05-26-191151
16,0.5764827904118008,532.0461532101035,9778.116497211158,163552061737,exp1,5,120,1000.0,10,09-05-26-191151
17,0.6004917025199754,548.5562440007925,9518.668378703296,162808994092,exp1,5,120,1000.0,10,09-05-26-191151
18,0.6108635525507068,535.1374363526702,8994.497865438461,162746610741,exp1,5,120,1000.0,10,09-05-26-191151
19,0.618200676090965,485.5492627248168,9050.311159342527,161615743838,exp1,5,120,1000.0,10,09-05-26-191151
20,0.6255762138905961,482.7912170439959,9760.13778336346,162282402745,exp1,5,120,1000.0,10,09-05-26-191151
21,0.6225799016594961,506.0189524665475,8908.551539294422,162011241378,exp1,5,120,1000.0,10,09-05-26-191151
22,0.6314151813153043,507.57031701505184,9402.097986079752,162702656903,exp1,5,120,1000.0,10,09-05-26-191151
23,0.6423248309772588,516.6597561910748,9616.467055864632,163510425325,exp1,5,120,1000.0,10,09-05-26-191151
24,0.6614935464044254,541.8794099241495,9582.854957319796,162648739473,exp1,5,120,1000.0,10,09-05-26-191151
0,0.106138598647818,629.7079976648092,3473.1653947383165,162104429619,exp1,5,360,1000.0,10,09-05-26-104246
1,0.1748617086662569,507.8754723072052,3152.808738872409,159902561513,exp1,5,360,1000.0,10,09-05-26-104246
2,0.1377151198524892,509.5198266208172,3322.646331973374,159668693274,exp1,5,360,1000.0,10,09-05-26-104246
3,0.1572679778733866,513.9854708686471,3088.7193782255054,162150546532,exp1,5,360,1000.0,10,09-05-26-104246
4,0.2386293792255685,496.6635890305042,3180.2759682759643,160938774187,exp1,5,360,1000.0,10,09-05-26-104246
5,0.2978641671788568,530.8740548789501,3178.842743858695,160724113016,exp1,5,360,1000.0,10,09-05-26-104246
6,0.3336662569145667,493.1078953668475,3231.5256847068667,161136309918,exp1,5,360,1000.0,10,09-05-26-104246
7,0.4071911493546404,447.5035322830081,3201.3302901759744,161080795459,exp1,5,360,1000.0,10,09-05-26-104246
8,0.410379532882606,474.9354012310505,3220.020204782486,159995183405,exp1,5,360,1000.0,10,09-05-26-104246
9,0.4574370006146281,500.9567122906447,3360.0515462458134,162167954700,exp1,5,360,1000.0,10,09-05-26-104246
10,0.4565534726490473,501.0273940861225,3165.0762958452106,159930382077,exp1,5,360,1000.0,10,09-05-26-104246
11,0.4606253841425937,532.5332684442401,3485.821884125471,161510747630,exp1,5,360,1000.0,10,09-05-26-104246
12,0.5122925629993854,503.3257119357586,3283.571348525584,161735810203,exp1,5,360,1000.0,10,09-05-26-104246
13,0.4868239090350338,537.1116138994694,3421.772191300988,159927884488,exp1,5,360,1000.0,10,09-05-26-104246
14,0.5772894898586355,505.09741622954607,3242.301025427878,159032004115,exp1,5,360,1000.0,10,09-05-26-104246
15,0.5600414874001229,499.2339899763465,3257.9813236370683,161702929937,exp1,5,360,1000.0,10,09-05-26-104246
16,0.540181315304241,522.7960189804435,3291.737306863069,160629857650,exp1,5,360,1000.0,10,09-05-26-104246
17,0.5578134603564844,513.5149462148547,3184.3073340132837,160625142998,exp1,5,360,1000.0,10,09-05-26-104246
18,0.538759987707437,477.9950520023704,3078.446479514241,158619640490,exp1,5,360,1000.0,10,09-05-26-104246
