Round,ClientID,ClientAccuracy,ClientTrainingTime,K,timestamp
12,client17,0.1377979568671963,1672.5199890788645,10,03-03-26-205051
12,client18,0.1720793865584122,1916.9328401330856,10,03-03-26-205051
12,client13,0.3299771167048055,2149.704486131668,10,03-03-26-205051
12,client14,0.1846153846153846,2157.3457159101963,10,03-03-26-205051
12,client2,0.2559852670349908,1743.8873501960188,10,03-03-26-205051
12,client1,0.2258064516129032,1689.8775310255587,10,03-03-26-205051
13,client6,0.3022281050077212,2112.065145978704,10,03-03-26-205051
13,client5,0.2670203359858532,1744.6788779925555,10,03-03-26-205051
13,client18,0.1847090663058186,1683.194224955514,10,03-03-26-205051
13,client17,0.2572077185017026,1659.4239759724587,10,03-03-26-205051
13,client14,0.3584385763490241,2058.86555602774,10,03-03-26-205051
13,client13,0.314187643020595,2180.408279178664,10,03-03-26-205051
13,client1,0.2135393003180372,1993.0351059883835,10,03-03-26-205051
13,client2,0.1984346224677716,1654.4565549120307,10,03-03-26-205051
14,client5,0.3815207780725022,1999.945368152112,10,03-03-26-205051
14,client6,0.3044341495698213,1896.2791049852967,10,03-03-26-205051
14,client18,0.3173207036535859,1732.9101520590484,10,03-03-26-205051
14,client17,0.2258796821793416,1678.046085173264,10,03-03-26-205051
14,client13,0.4704805491990846,2119.6013789158314,10,03-03-26-205051
14,client14,0.3582089552238806,2089.925675885752,10,03-03-26-205051
14,client2,0.3989410681399631,1643.7658350914717,10,03-03-26-205051
14,client1,0.2982735120399818,1733.6346269585192,10,03-03-26-205051
15,client5,0.5545977011494253,1853.5010691266507,10,03-03-26-205051
15,client6,0.4837855724685638,1839.225823059678,10,03-03-26-205051
15,client18,0.4846639603067208,1700.2071428578347,10,03-03-26-205051
15,client17,0.4635641316685585,1670.0948369689286,10,03-03-26-205051
15,client13,0.4878718535469107,2094.996480969712,10,03-03-26-205051
15,client14,0.4330654420206659,2118.783930083737,10,03-03-26-205051
15,client2,0.4486648250460405,1924.3823001161215,10,03-03-26-205051
15,client1,0.564970467969105,1912.3537689447403,10,03-03-26-205051
16,client5,0.6317418213969939,1833.056204020977,10,03-03-26-205051
